id,user_id,total_price,status,recipient_name,phone,address,created_at
1,2,12780000,SHIPPED,User2 Demo,0900000002,"102 Đường Mẫu, Quận 3, Đà Nẵng",2024-04-07 22:54:58
2,4,15160000,SHIPPED,User4 Demo,0900000004,"104 Đường Mẫu, Quận 5, Hải Phòng",2024-09-07 03:32:21
3,5,2400000,PAID,User5 Demo,0900000005,"105 Đường Mẫu, Quận 6, Hà Nội",2025-05-23 12:47:27
4,8,300000,SHIPPED,User8 Demo,0900000008,"108 Đường Mẫu, Quận 9, Cần Thơ",2025-09-21 23:24:30
5,10,14940000,PAID,User10 Demo,0900000010,"110 Đường Mẫu, Quận 11, Hà Nội",2025-06-03 13:57:22
6,15,5370000,PENDING,User15 Demo,0900000015,"115 Đường Mẫu, Quận 4, Hà Nội",2025-09-03 23:00:01
7,16,4800000,COMPLETED,User16 Demo,0900000016,"116 Đường Mẫu, Quận 5, TP. Hồ Chí Minh",2024-08-05 05:14:30
8,18,23541000,PAID,User18 Demo,0900000018,"118 Đường Mẫu, Quận 7, Cần Thơ",2025-11-16 14:01:18
9,23,7820000,SHIPPED,User23 Demo,0900000023,"123 Đường Mẫu, Quận 12, Cần Thơ",2025-10-30 12:17:27
10,25,7240000,COMPLETED,User25 Demo,0900000025,"125 Đường Mẫu, Quận 2, Hà Nội",2024-09-28 15:34:20
11,26,4780000,PAID,User26 Demo,0900000026,"126 Đường Mẫu, Quận 3, TP. Hồ Chí Minh",2024-09-30 07:34:09
12,27,11470000,PAID,User27 Demo,0900000027,"127 Đường Mẫu, Quận 4, Đà Nẵng",2024-10-14 09:07:08
13,29,26380000,COMPLETED,User29 Demo,0900000029,"129 Đường Mẫu, Quận 6, Hải Phòng",2024-05-23 10:44:31
14,30,21000000,PAID,User30 Demo,0900000030,"130 Đường Mẫu, Quận 7, Hà Nội",2025-11-26 14:56:22
15,31,110850000,COMPLETED,User31 Demo,0900000031,"131 Đường Mẫu, Quận 8, TP. Hồ Chí Minh",2024-05-15 15:37:07
16,36,43260000,COMPLETED,User36 Demo,0900000036,"136 Đường Mẫu, Quận 1, TP. Hồ Chí Minh",2025-11-07 11:40:43
17,37,28170000,COMPLETED,User37 Demo,0900000037,"137 Đường Mẫu, Quận 2, Đà Nẵng",2024-11-30 20:28:26
18,39,24230000,PENDING,User39 Demo,0900000039,"139 Đường Mẫu, Quận 4, Hải Phòng",2025-02-21 08:32:01
19,40,35480000,PAID,User40 Demo,0900000040,"140 Đường Mẫu, Quận 5, Hà Nội",2025-06-17 21:07:19
20,41,5090000,PAID,User41 Demo,0900000041,"141 Đường Mẫu, Quận 6, TP. Hồ Chí Minh",2025-01-05 02:26:44
21,42,25360000,PAID,User42 Demo,0900000042,"142 Đường Mẫu, Quận 7, Đà Nẵng",2026-02-23 06:26:24
22,43,630000,PAID,User43 Demo,0900000043,"143 Đường Mẫu, Quận 8, Cần Thơ",2025-03-04 11:58:23
23,44,37770000,SHIPPED,User44 Demo,0900000044,"144 Đường Mẫu, Quận 9, Hải Phòng",2025-12-22 10:20:56
